Abord
Achevé
Aide
Aime
Allemand
Allure
Ami
Appeler
Argent
Assis
Attend
Attendant
Aux
Bannir
Barbe
Barre
Bel/Belle
Billet
Blanc
Blessé
Bois
Bon/Bonne
Bord
Bougie
Branchée
Bras
Brosse
Brosser
Bruit
Brun
C’est
Campagne
Carte
Cassé
Changer
Chanter
Chantes
Chaque
Chat
Chemises
Chien
Chimie
Chose
Cinq
Coin
Commande
Commandent
Comme
Comment
Commode
Communicant
Comportement
Content
Contes
Contient
Côté
Coucher
Courriel
Courses
Court/Courte
Crevé
D’abord
Danser
De
Demande
Demander
Dent
Des/Dès
Devoir
Diner
Dix
Donne
Dos
Dresser
Embrasser
Entre
Entrés
Essence
Est
Et
Étudie
Facture
Fade
Fait
Fera
Feu
Fier/Fiers
Fille
Fleur
Fois
Folle
Forme
Former
Fort
Foule
Four
Gamme
Gants
Gare
Gens
Grand/Grande
Gras
Grave
Gros
Grossir
Habite
Habits
Hier
Homme
Horaire
Ici
Invités
Joli/Jolie
Jolies
Journal
Journée
Jus
Lait
Laver
Lecture
Lit
Livre
Loin
Loup
Lourde
Magasin
Main
Maintenant
Mais
Mal
Malade
Mange
Manger
March
Marche
Marché
Marre
Médecin
Même
Mentir
Merci
Met
Météo
Mince
Minuit
Mis
Mois
Nager
Nom
Note
Nous
Nouvelle
On
Or
Orage
Ordianteur
Pain
Panne
Papillon
Pars
Part
Parti
Participent
Pas
Passage
Passer
Pays
Peinture
Pendant
Père
Photographie
Pièce
Pied
Piller
Plage
Plaît
Plat
Plats
Plein
Pleura
Plume
Pointure
Poisson
Pomme
Pont
Portable
Porte
Porter
Pose
Poste
Pour
Premier
Présente
Présenter
Prier
Propreté
Quarantaine
Quartier
Quelle
Qui
Raison
Range
Ranger
Rapport
Raté
Rédaction
Regarde
Relie
Rends
Rentre
Rentré
Résume
Roi
Roman
Romancier
Rue
Sache
Salé
Salle
Salon
Salut
Savez
Secours
Ses
Six
Sort
Stage
Stylo
Sur
Tableau
Taille
Tape
Tard
Tasse
Telle
Thèse
Tombe
Tombé
Tort
Tout
Travaille
Trop
Valise
Valises
Vendre
Venu
Vers
Verse
Vieil
Visiter

